SN,Name ,Symbol ,Status ,Sector ,Instrument ,Email,Website
228,Mailung Khola Jal Vidhyut Company Limited,MKJC,Active,Hydro Power,Equity,mailu@wlink.cpm.np,www.mailunhkhola.cpm
229,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Active,Microfinance,Equity,info@manushilbs.com.np,https://www.manushilbs.com
230,Jyoti Bikash Bank Bond 2087,JBBD87,Active,Development Banks,Non-Convertible Debentures,krishna.oasti@jbbl.com.np,
231,Sahas Urja Limited,SAHAS,Active,Hydro Power,Equity,surja@sahasurja.com,www.sahasurja.com
232,Terhathum Power Company Limited,TPC,Active,Hydro Power,Equity,terathumpc@gmail.com,www.terhathumpc.com
233,Mega Mutual Fund -1,MMF1,Active,Commercial Banks,Mutual Funds,nepse@megabank.com.np,
234,Nabil Balanced Fund-3,NBF3,Active,Commercial Banks,Mutual Funds,rajesh.bogati@nabilbank.com,
235,Samling Power Company Limited,SPC,Active,Hydro Power,Equity,info@urjadeveloper.com,spcl.com.np
236,Nyadi Hydropower Limited,NYADI,Active,Hydro Power,Equity,nhl@nhl.com.np,www.nhl.com.np
237,Nabil Debenture 2085,NBLD85,Active,Commercial Banks,Non-Convertible Debentures,rajesh.bogati@nabilbank.com,
238,Agricultural Bond (8 Year),ADBLB86,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
239,Agricultural Bond (9 Year),ADBLB87,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
240,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Active,Hydro Power,Equity,admin@mbjcl.com.np,www.mbjcl.com.np
241,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Active,Hydro Power,Equity,lowertadi@gmail.com,https://buddhabhumihydro.com/
242,"Garima Debenture, 2085",GBBD85,Active,Development Banks,Non-Convertible Debentures,info@garimabank.com.np,
243,Emerging Nepal Limited,ENL,Active,Investment,Equity,mail@emergingnep.com,https://www.emergingnep.com
244,Rastra Utthan Laghubitta Sanstha Limited,RULB,Active,Microfinance,Equity,info@rulbsl.com.np,www.rulbsl.com.np
245,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA,Active,Microfinance,Equity,info@jalpamf.com.np,www.jalpamf.com.np
246,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,Active,Microfinance,Equity,nesdosmfi@gmail.com,https://slbs.nesdonepal.org
247,Civil Bank Debenture 2088,CBLD88,Active,Commercial Banks,Non-Convertible Debentures,hirakaji.basnet@civilbank.com.np,
248,Everest Bank Limited,EBLD86,Active,Commercial Banks,Non-Convertible Debentures,sharedept@ebl.com.np,
249,Green Ventures Limited,GVL,Active,Hydro Power,Equity,frontdesk@trivenihydro.com,www.greenventuresnepal.com
250,Balephi Hydropower Limited,BHL,Active,Hydro Power,Equity,info.balephi@gmail.com,www.balephihydro.com
251,Upakar Laghubitta Bittiya Sanstha Limited,ULBSL,Active,Microfinance,Equity,upakar.banke1@gmail.com,www.ulbsl.com.np
252,River Falls Power Limited,RFPL,Active,Hydro Power,Equity,riverfallshydropower@gmail.com,www.riverfallshydro.com.np
253,Century Debenture 2088,CCBD88,Active,Commercial Banks,Non-Convertible Debentures,welcome@centurybank.com.np,
254,Dordi Khola Jal Bidyut Company Limited,DORDI,Active,Hydro Power,Equity,info@dordikhola.com.np,www.dordikhola.com.np
255,NIC Asia Flexi CAP Fund,NICFC,Active,Commercial Banks,Mutual Funds,nica.nots@nicasiabank.com,
256,Kumari Dhanabriddhi Yojana,KDBY,Active,Commercial Banks,Mutual Funds,info@kumaribank.com,http://www.kumaribank.com
257,Bindhyabasini Hydropower Development Company Limited,BHDC,Active,Hydro Power,Equity,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np
258,Himalayan Hydropower Limited,HHL,Active,Hydro Power,Equity,himalayanhydro2021@gmail.com,www.hhpl.com.np
259,10% Prime Debenture 2088,PBD88,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
260,10.75% SBL Debenture 2089,SBLD89,Active,Commercial Banks,Non-Convertible Debentures,laxman.ghimire@sbl.com.np,
261,Upper Hewakhola Hydropower Company Limited,UHEWA,Active,Hydro Power,Equity,upperhewahpc@gmail.com,upperhewahpc.com.np
262,Swet-Ganga Hydropower & Construction Limited,SGHC,Active,Hydro Power,Equity,sghcl@sanimahydro.com,www.swetgangahydropower.com
263,Mandakini Hydropower Limited,MHL,Active,Hydro Power,Equity,mandakini.hydropower@gmail.com,www.mandakinihydro.com.np
264,Upper Solu Hydro Electric Company Limited,USHEC,Active,Hydro Power,Equity,ushec@info.com.np,www.ushec.com.np
265,NMB Energy Bond 4% - 2093/94,NMBUR93/94,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
266,Global IME Balanced Fund-1,GIBF1,Active,Mutual Fund,Mutual Funds,gimeb1@gicl.com.np,www.globalimecapital.com
267,Rapti Hydro And General Construction Limited,RHGCL,Active,Hydro Power,Equity,info@raptihydro.com.np,www.raptihydro.com.np
268,10.25% Sanima Debenture 2089,SBD89,Active,Commercial Banks,Non-Convertible Debentures,sanima@sanimageneral.com,
269,10.25% Nepal SBI Bank Debenture 2083,SBID83,Active,Commercial Banks,Non-Convertible Debentures,cs@nsbl.com.np,https://nsbl.statebank
270,10.15% Prime Debenture 2084,PBD84,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
271,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,Active,Microfinance,Equity,aviyanlaghu@gmail.com,https://www.aviyanlaghubitta.com/
272,10.50% Everest Bank Limited Debenture 2085,EBLD85,Active,Commercial Banks,Non-Convertible Debentures,sharedept@ebl.com.np,
273,Sayapatri Hydropower Limited,SPHL,Active,Hydro Power,Equity,info@sayapatrihydropower.com,www.sayapatrihydropower.com
274,People's Power Limited,PPL,Active,Hydro Power,Equity,peoplespowerltd@gmail.com,www.peoplespower.com.np
275,Dhaulagiri Laghubitta Bittiya Sanstha Limited,DLBS,Active,Microfinance,Equity,dlbsbank.headoffice@gmail.com,www.dhaulagiribank.com
